project,issue_key,summary,description,status,priority,predicted_agent,confidence_score
Project-6,ISSUE-6329,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Critical,Task,
Project-6,ISSUE-7555,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Low,Task,
Project-6,ISSUE-6247,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Critical,Task,
Project-4,ISSUE-8768,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-9,ISSUE-9224,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,High,Support,
Project-1,ISSUE-1832,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-7,ISSUE-7230,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-8,ISSUE-9788,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Low,Task,
Project-10,ISSUE-5630,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-2,ISSUE-5353,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-1,ISSUE-5546,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-3,ISSUE-7739,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-1,ISSUE-7105,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,High,Support,
Project-9,ISSUE-9110,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-3,ISSUE-4699,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,High,Support,
Project-4,ISSUE-5893,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-2,ISSUE-5268,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Critical,Task,
Project-2,ISSUE-8354,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-7,ISSUE-5190,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-7,ISSUE-7364,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-7,ISSUE-5610,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-3,ISSUE-9376,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-9,ISSUE-8214,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,Medium,Support,
Project-6,ISSUE-8138,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-6,ISSUE-3918,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-10,ISSUE-3355,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Medium,Support,
Project-4,ISSUE-3354,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-6,ISSUE-7695,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-6,ISSUE-2539,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Low,Support,
Project-7,ISSUE-1547,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-9,ISSUE-9218,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Medium,Task,
Project-2,ISSUE-2739,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Critical,Support,
Project-2,ISSUE-4811,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-10,ISSUE-3809,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-3,ISSUE-6507,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,Low,Bug Tracking,
Project-9,ISSUE-4993,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,Critical,Support,
Project-4,ISSUE-8245,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-5,ISSUE-5360,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Low,Task,
Project-10,ISSUE-1573,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-2,ISSUE-4140,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,High,Task,
Project-6,ISSUE-4436,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Critical,Task,
