id,title,description,severity,device
1,Application crash,Application throws a runtime error,4,Unknown
2,Account locked,User requested password reset,4,Unknown
3,Disk failure,Printer driver unavailable,1,Unknown
4,Firewall misconfiguration,Firewall blocked a trusted source,2,Unknown
5,Application crash,Application throws a runtime error,3,Unknown
6,Account locked,User lacks necessary permissions,1,Unknown
7,Server down,Disk space exceeded,2,Unknown
8,Login error,Login credentials rejected,3,Unknown
9,Login error,Application throws a runtime error,4,Unknown
10,Disk failure,Printer driver unavailable,3,Unknown
11,Firewall misconfiguration,DNS server unreachable,2,Unknown
12,Password reset request,User lacks necessary permissions,3,Unknown
13,DNS resolution error,Firewall blocked a trusted source,1,Unknown
14,DNS resolution error,Router not responding,4,Unknown
15,Printer offline,Printer driver unavailable,4,Unknown
16,Firewall misconfiguration,Firewall blocked a trusted source,3,Unknown
17,Connectivity issue,DNS server unreachable,3,Unknown
18,Connectivity issue,DNS server unreachable,4,Unknown
19,Data export failed,Export function times out,4,Unknown
20,Connectivity issue,Router not responding,2,Unknown
21,Permission issue,User lacks necessary permissions,1,Unknown
22,Account locked,User lacks necessary permissions,4,Unknown
23,Unauthorized access,Suspicious login attempt detected,4,Unknown
24,Disk failure,Disk space exceeded,4,Unknown
25,Unauthorized access,Antivirus flagged a process,4,Unknown
26,Unauthorized access,Suspicious login attempt detected,2,Unknown
27,Account locked,User requested password reset,2,Unknown
28,Data export failed,Export function times out,1,Unknown
29,Connectivity issue,Router not responding,3,Unknown
30,Application crash,Login credentials rejected,3,Unknown
31,Firewall misconfiguration,DNS server unreachable,1,Unknown
32,Account locked,User lacks necessary permissions,3,Unknown
33,Data export failed,Login credentials rejected,1,Unknown
34,Disk failure,Server failed to boot,1,Unknown
35,Login error,Export function times out,3,Unknown
36,Connectivity issue,Firewall blocked a trusted source,3,Unknown
37,Connectivity issue,Router not responding,2,Unknown
38,Data export failed,Login credentials rejected,1,Unknown
39,Phishing attempt,Suspicious login attempt detected,4,Unknown
40,Printer offline,Disk space exceeded,3,Unknown
41,Application crash,Application throws a runtime error,2,Unknown
42,DNS resolution error,Router not responding,1,Unknown
43,Server down,Server failed to boot,3,Unknown
44,Unauthorized access,Malicious email reported,1,Unknown
45,Connectivity issue,DNS server unreachable,3,Unknown
46,Application crash,Login credentials rejected,4,Unknown
47,Malware detected,Malicious email reported,3,Unknown
48,DNS resolution error,DNS server unreachable,3,Unknown
49,Malware detected,Suspicious login attempt detected,3,Unknown
50,Connectivity issue,Router not responding,4,Unknown
51,Phishing attempt,Suspicious login attempt detected,1,Unknown
52,Login error,Login credentials rejected,3,Unknown
53,Connectivity issue,DNS server unreachable,1,Unknown
54,DNS resolution error,Firewall blocked a trusted source,2,Unknown
55,Login error,Export function times out,1,Unknown
56,Login error,Application throws a runtime error,2,Unknown
57,Phishing attempt,Malicious email reported,1,Unknown
58,DNS resolution error,DNS server unreachable,2,Unknown
59,Application crash,Application throws a runtime error,1,Unknown
60,Connectivity issue,Firewall blocked a trusted source,1,Unknown
61,Password reset request,User requested password reset,2,Unknown
62,Printer offline,Printer driver unavailable,1,Unknown
63,Account locked,User requested password reset,1,Unknown
64,DNS resolution error,Firewall blocked a trusted source,4,Unknown
65,Phishing attempt,Suspicious login attempt detected,4,Unknown
66,Permission issue,User requested password reset,2,Unknown
67,Permission issue,User lacks necessary permissions,2,Unknown
